
Metric Pitches
------------------------------------------------------------------------------------------------------------------------
  mm 	 ratio 		 Gearsets
28.000	(3.500) 	->	[3.500 -> [[20, 22] : [28, 55]], 3.500 -> [[20, 20] : [28, 50]]]
26.000	(3.250) 	->	[3.247 -> [[22, 28] : [40, 50]]]
24.000	(3.000) 	->	[3.000 -> [[20, 20] : [30, 40]], 3.002 -> [[32, 38] : [50, 73]]]
20.000	(2.500) 	->	[2.500 -> [[22] : [55]], 2.500 -> [[20] : [50]]]
19.000	(2.375) 	->	[2.375 -> [[20, 40] : [38, 50]], 2.375 -> [[22, 40] : [38, 55]], 2.375 -> [[20, 32] : [38, 40]]]
18.000	(2.250) 	->	[2.252 -> [[22, 28, 40] : [20, 38, 73]], 2.248 -> [[20, 50, 50] : [28, 55, 73]], 2.251 -> [[32, 38, 40] : [30, 50, 73]], 2.248 -> [[20, 20, 50] : [22, 28, 73]], 2.252 -> [[28, 40, 55] : [38, 50, 73]], 2.252 -> [[28, 32, 55] : [38, 40, 73]], 2.252 -> [[22, 30, 55] : [28, 40, 73]], 2.251 -> [[28, 30, 32] : [22, 50, 55]], 2.248 -> [[20, 22, 73] : [38, 38, 50]]]
16.000	(2.000) 	->	[2.000 -> [[20] : [40]]]
14.000	(1.750) 	->	[1.750 -> [[20, 40] : [28, 50]], 1.750 -> [[22, 40] : [28, 55]], 1.750 -> [[20, 32] : [28, 40]]]
13.000	(1.625) 	->	[1.623 -> [[22, 28] : [20, 50]], 1.623 -> [[28, 55] : [50, 50]]]
12.000	(1.500) 	->	[1.500 -> [[20] : [30]]]
11.000	(1.375) 	->	[1.375 -> [[40] : [55]]]
10.000	(1.250) 	->	[1.250 -> [[32] : [40]], 1.250 -> [[40] : [50]]]
9.000	(1.125) 	->	[1.124 -> [[40, 50, 50] : [28, 55, 73]], 1.126 -> [[22, 30, 55] : [20, 28, 73]], 1.124 -> [[22, 32, 73] : [38, 38, 40]], 1.126 -> [[28, 32, 55] : [20, 38, 73]], 1.125 -> [[20, 28, 73] : [22, 38, 55]], 1.124 -> [[22, 40, 73] : [38, 38, 50]], 1.124 -> [[20, 40, 50] : [22, 28, 73]], 1.125 -> [[20, 30, 73] : [28, 32, 55]]]
8.000	(1.000) 	->	[1.000 -> [[20] : [20]], 1.000 -> [[50] : [50]], 1.000 -> [[38] : [38]]]
7.000	(0.875) 	->	[0.875 -> [[32] : [28]]]
6.000	(0.750) 	->	[0.750 -> [[40] : [30]]]
5.000	(0.625) 	->	[0.625 -> [[32] : [20]]]
4.500	(0.562) 	->	[0.562 -> [[22, 32, 73] : [20, 38, 38]], 0.563 -> [[28, 50, 55] : [30, 38, 38]], 0.562 -> [[32, 50, 50] : [22, 28, 73]], 0.563 -> [[22, 50, 55] : [28, 32, 38]], 0.563 -> [[30, 40, 73] : [28, 32, 55]], 0.563 -> [[30, 50, 73] : [28, 40, 55]], 0.563 -> [[20, 50, 50] : [22, 32, 40]], 0.562 -> [[32, 55, 73] : [38, 38, 50]], 0.563 -> [[20, 30, 73] : [22, 28, 40]], 0.562 -> [[28, 40, 73] : [22, 38, 55]]]
4.000	(0.500) 	->	[0.500 -> [[40] : [20]]]
3.500	(0.438) 	->	[0.438 -> [[32, 40] : [20, 28]]]
3.000	(0.375) 	->	[0.375 -> [[32, 50] : [20, 30]], 0.375 -> [[32, 55] : [22, 30]]]
2.875	(0.359) 	->	[0.360 -> [[55, 73] : [38, 38]], 0.360 -> [[32, 73] : [28, 30]]]
2.750	(0.344) 	->	[0.344 -> [[32, 40] : [20, 22]]]
2.625	(0.328) 	->	[0.329 -> [[30, 50, 50] : [22, 28, 40]], 0.328 -> [[32, 50, 55] : [20, 38, 38]], 0.328 -> [[28, 38, 55] : [20, 30, 32]]]
2.500	(0.312) 	->	[0.312 -> [[50, 73] : [30, 38]], 0.312 -> [[32, 40] : [20, 20]]]
